user_id,username,full_name,email_address,phone_number,city,province,age,occupation,monthly_income,account_balance,consent_personalization,segment_ground_truth
1000,dongorankunthara,Okto Jailani,rahayusurya@example.org,080133890838,Jayapura,Sulawesi Tengah,18,Fresh Graduate,2027150,986213,True,Student
1001,adinata26,Darijan Sirait,iswahyudiprabawa@example.org,085594078161,Sorong,Papua,25,Private Employee,14906820,17157347,True,Young Professional
1002,cahyonogunawan,"T. Bahuwirya Pradipta, S.IP",dsetiawan@example.net,085255341928,Cilegon,Sulawesi Tenggara,18,Student,1917034,1025850,True,Student
1003,osaputra,Mahdi Simbolon,pradanaatma@example.com,086413953767,Kota Administrasi Jakarta Selatan,Jawa Barat,22,Student,3725812,2991570,True,Student
1004,iriananasyiah,drg. Restu Wacana,ismail28@example.com,081012269166,Pontianak,Kepulauan Bangka Belitung,30,Freelancer,10536477,10886237,True,Freelancer
1005,zulaikadartono,KH. Emas Yuniar,darmana46@example.org,087048281489,Bukittinggi,Papua,35,Doctor,66851341,143444689,True,Established Professional
1006,ghaliyatinuraini,dr. Nurul Budiyanto,tarihoranluwes@example.org,080391171822,Purwokerto,Jawa Timur,43,Doctor,34449461,120353911,True,Established Professional
1007,elvina96,KH. Omar Pangestu,raditya57@example.net,087133150983,Ambon,DI Yogyakarta,18,Fresh Graduate,1405657,1555668,True,Student
1008,pradanacahya,"dr. Belinda Mulyani, S.H.",ulva73@example.net,082997376311,Manado,Sulawesi Selatan,54,Lawyer,22915909,153325926,True,Established Professional
1009,uhastuti,"Mariadi Januar, S.Gz",zsirait@example.org,083338726247,Batu,Sulawesi Tengah,21,Student,3315426,1279678,True,Student
1010,hardiansyahshania,"Cut Cornelia Prakasa, S.E.",elaksita@example.org,086026064746,Bukittinggi,Kalimantan Selatan,53,Doctor,67283015,48671069,True,Established Professional
1011,ibrahim09,Pangeran Sihotang,hardiansyahlaila@example.com,088820812191,Padang,Jambi,23,Student,2213781,384671,True,Student
1012,kiandrariyanti,Hari Wahyuni,karman35@example.org,084624751079,Batu,Kalimantan Tengah,25,Civil Servant,9663623,18213925,True,Young Professional
1013,eman51,Intan Manullang,tpalastri@example.com,089808412411,Kota Administrasi Jakarta Timur,Lampung,40,Lawyer,43841813,86239114,True,Established Professional
1014,mahfudputra,"Tgk. Ophelia Lestari, S.T.",iswahyudirachel@example.com,084005242786,Binjai,DI Yogyakarta,55,Doctor,60878089,75939680,True,Established Professional
1015,hafshahfirgantoro,Drs. Dalima Astuti,bakdasamosir@example.com,080533158692,Cilegon,Kalimantan Barat,26,Civil Servant,11366205,12057945,True,Young Professional
1016,ldongoran,Violet Zulkarnain,kasusramanullang@example.net,081607337543,Bandar Lampung,Kalimantan Selatan,34,Civil Servant,5938483,10685577,True,Young Professional
1017,rsitompul,"T. Gara Yuniar, M.TI.",iwastuti@example.com,080142940196,Tegal,Maluku Utara,24,Fresh Graduate,2682607,1172986,True,Student
1018,gsudiati,R.A. Hamima Gunawan,hadriansyah@example.net,083561595148,Surakarta,Sulawesi Barat,19,Fresh Graduate,1891820,2799109,True,Student
1019,reksa48,Salwa Wibowo,patriciapurnawati@example.com,086804436995,Palembang,Sulawesi Tengah,35,Freelancer,13785264,8698256,True,Freelancer
1020,calistakusmawati,"H. Cawisadi Wahyuni, S.Pt",diah95@example.org,083433200379,Palu,Sulawesi Barat,28,Private Employee,9137722,21836388,True,Young Professional
1021,zamirawinarno,Cakrajiya Yolanda,kurniawansoleh@example.org,082870831727,Tomohon,Sulawesi Tengah,53,Lawyer,59160231,137213257,True,Established Professional
1022,cpudjiastuti,"Zelda Kusmawati, M.M.",jumari48@example.com,083471434558,Bogor,Jawa Tengah,42,Doctor,54193730,162477149,True,Established Professional
1023,pranatamangunsong,Heryanto Wasita,halima76@example.org,083669096705,Tomohon,Papua Barat,24,Student,1459901,691062,True,Student
1024,vnasyiah,"Drs. Usman Prasetya, M.Kom.",kenesfujiati@example.com,080656272980,Semarang,Bali,34,Civil Servant,6065818,15910648,True,Young Professional
1025,yuniarsabri,Elvina Hardiansyah,prabu53@example.com,085564641708,Malang,Kalimantan Timur,37,Freelancer,11877065,5218028,True,Freelancer
1026,yuliantibajragin,Daliono Damanik,jatimahendra@example.com,081937452991,Lhokseumawe,Gorontalo,23,Student,3859300,2302216,True,Student
1027,saragihkasiyah,Lala Napitupulu,rahayuzahra@example.net,083149190586,Batam,Sumatera Selatan,55,Lawyer,27486139,108785840,True,Established Professional
1028,ajiono67,Siska Haryanti,tedinugroho@example.net,088498776945,Bekasi,Kepulauan Riau,28,Freelancer,10612220,1054447,True,Freelancer
1029,wprasasta,Hj. Kezia Sirait,lailasarimartaka@example.org,087354549480,Bau-Bau,Kalimantan Utara,51,Doctor,54069940,58564437,True,Established Professional
1030,jlestari,"Nabila Yuliarti, M.Kom.",fbudiyanto@example.com,083634957885,Tidore Kepulauan,Nusa Tenggara Barat,55,Entrepreneur,60867299,83394792,True,Established Professional
1031,umaya44,Najam Nababan,digdaya82@example.org,083749894134,Mataram,Kalimantan Barat,29,Private Employee,14049278,20795716,True,Young Professional
1032,alambana82,Kadir Siregar,sarahlestari@example.org,080947775204,Binjai,DI Yogyakarta,22,Fresh Graduate,3049360,131691,True,Student
1033,elestari,"Asmadi Maryadi, S.E.I",cawisono31@example.net,086999386774,Lhokseumawe,Bengkulu,20,Fresh Graduate,2004335,292955,True,Student
1034,pranowoqueen,"Bajragin Manullang, S.H.",indahhutagalung@example.org,080679740344,Batu,Kalimantan Timur,33,Private Employee,6437026,19307133,True,Young Professional
1035,queen93,Sutan Marsudi Maryadi,edi10@example.org,084994717464,Palembang,DKI Jakarta,24,Student,1538512,2817195,True,Student
1036,astutimariadi,Bakijan Pradana,wulandarikawaya@example.net,080278742967,Parepare,Nusa Tenggara Timur,40,Freelancer,5770370,5446912,True,Freelancer
1037,usitorus,"R. Julia Zulkarnain, M.Kom.",tantri68@example.org,087154516808,Padang Sidempuan,Bengkulu,29,Freelancer,12047886,13671247,True,Freelancer
1038,dindatarihoran,Sari Handayani,putrakasusra@example.net,082477109324,Purwokerto,Sulawesi Barat,28,Civil Servant,11264956,17700199,True,Young Professional
1039,prasetyodarsirah,Marsudi Mangunsong,gsiregar@example.net,084677378263,Batam,Kepulauan Riau,26,Freelancer,7159166,4769795,True,Freelancer
1040,ysiregar,"Cut Intan Salahudin, M.Farm",cmaryadi@example.net,087558867533,Kediri,Sulawesi Barat,20,Student,3467545,2373315,True,Student
1041,simanjuntakwarsita,"dr. Harsana Wijayanti, S.E.I",ifirgantoro@example.net,089517187026,Batu,Sulawesi Utara,33,Private Employee,5120642,5382132,True,Young Professional
1042,murti96,"dr. Zulaikha Wulandari, M.Pd",osimanjuntak@example.net,087809134316,Tual,Gorontalo,19,Student,1131755,1435917,True,Student
1043,smarbun,Arsipatra Simbolon,sihombingnasim@example.com,086238692221,Solok,Kalimantan Utara,22,Student,2168018,2855896,True,Student
1044,jpadmasari,"Dodo Haryanti, S.T.",hastutikamal@example.net,088217594647,Dumai,Papua Barat,29,Freelancer,12046844,3219824,True,Freelancer
1045,pkurniawan,Ratih Sihombing,artawan64@example.org,089097439533,Tangerang,Jawa Barat,30,Freelancer,10935169,14547551,True,Freelancer
1046,utamisafina,"drg. Anom Prastuti, S.I.Kom",cemetisihombing@example.com,086232858842,Pariaman,Lampung,29,Freelancer,4582524,2626229,True,Freelancer
1047,dartono71,Satya Wastuti,xpuspita@example.org,086048175496,Bima,Kalimantan Timur,34,Freelancer,10106470,7897151,True,Freelancer
1048,ndongoran,Tgk. Vinsen Suryatmi,salimahharyanto@example.net,087461200471,Kendari,Jawa Barat,24,Freelancer,14297182,11963163,True,Freelancer
1049,xhasanah,"Tami Namaga, S.Farm",radityolanda@example.org,087964053773,Bengkulu,Papua,18,Fresh Graduate,2423138,508307,True,Student
