user_id,username,full_name,email_address,phone_number,city,province,age,occupation,monthly_income,account_balance,consent_personalization,segment_ground_truth,total_spend,total_trx,fav_category,fav_method,E_Wallet_spend,Food_Beverage_spend,Internet_spend,Lifestyle_Entertainment_spend,Retail_Convenience_spend,Telco_spend,Transport_Mobility_spend,Utilities_spend,Apply Credit Card,Apply Loan,History Transaction,Insurance,Investment,My Schedule,QRIS,Savings,Tukar Point Xtra,Voucher,E_Wallet_ratio,Food_Beverage_ratio,Internet_ratio,Lifestyle_Entertainment_ratio,Retail_Convenience_ratio,Telco_ratio,Transport_Mobility_ratio,Utilities_ratio,engagement_score,spend_to_income,occupation_encoded,fav_category_encoded,fav_method_encoded,segment_ground_truth_encoded,cluster,pca_1,pca_2,segment_name,generated_message,cta,product_focus,category_focus,trigger_reason,cta_label,recommendation_confidence,predicted_cta
1000,dongorankunthara,Okto Jailani,rahayusurya@example.org,+62-13-389-0838,Jayapura,Sulawesi Tengah,18,Fresh Graduate,2027150,986213,True,Student,12392199,83,Lifestyle & Entertainment,Bayar Tagihan,4477550,1457477,0,3567236,196606,2558584,0,134746,0,0,0,0,0,0,30,0,13,25,0.3613200238859928,0.1176124497667887,0.0,0.2878613966850115,0.0158653023676183,0.2064672939429641,0.0,0.0108734526557027,55,6.113110962133556,4,3,0,2,2,-4.4392314080385695,-2.1896430038941115,Established Professional,"Gaya hidup yang berkualitas perlu diseimbangkan dengan pertumbuhan aset. Sambil menikmati langganan Netflix, mulailah alokasikan dana secara rutin ke instrumen Reksadana.",Investment,Bayar Tagihan,Lifestyle & Entertainment,Balanced Lifestyle,3,0.935,Investment
1001,adinata26,Darijan Sirait,iswahyudiprabawa@example.org,+62 (594) 078-1618,Sorong,Papua,25,Private Employee,14906820,17157347,True,Young Professional,13878822,77,Transport & Mobility,QRIS,0,1464734,8617074,368367,1697161,0,1588779,142707,13,0,0,0,23,0,0,15,0,0,0.0,0.1055373355507163,0.6208793065521478,0.0265416599087689,0.1222842167523859,0.0,0.1144750531078896,0.0102823560758718,38,0.9310383481494814,6,6,2,3,0,0.7650024261301285,2.4162682974157508,Student,,,,,,0,1.0,
1002,cahyonogunawan,"T. Bahuwirya Pradipta, S.IP",dsetiawan@example.net,+62 (255) 341-9283,Pangkalpinang,Papua Barat,18,Student,1917034,1025850,True,Student,11883066,67,E-Wallet,Top Up,6730539,1488274,0,1815287,305664,1337364,205938,0,0,0,0,0,0,0,24,0,21,17,0.5663974628772185,0.1252432558025634,0.0,0.152762498099186,0.0257226522412101,0.1125436724374271,0.017330374389036,0.0,41,6.19866929920424,7,0,3,2,2,-4.374400601156514,-0.10052487989157892,Established Professional,"Frekuensi pengisian saldo OVO Anda cukup tinggi bulan ini. Untuk menjaga likuiditas dana tunai tetap optimal, gunakan Kartu Kredit sebagai sumber dana top-up agar Anda tetap mendapatkan poin.",Apply Credit Card,Top Up,E-Wallet,Cash Flow Optimization,1,0.8787727272727273,Apply Credit Card
1003,siti83,"Cut Ghaliyati Firmansyah, S.Psi",esantoso@example.org,+62 (376) 724 2388,Tidore Kepulauan,Sulawesi Selatan,22,Student,3725812,2991570,True,Student,15147045,92,E-Wallet,QRIS,7408545,2151368,0,2881320,0,2426765,168876,110171,0,0,0,0,0,0,22,0,15,30,0.4891082393227036,0.1420321823806437,0.0,0.1902232290045201,0.0,0.1602137472877549,0.0111491045844846,0.0072734314004195,52,4.065433504043279,7,0,2,2,2,-4.247019716898415,-1.0089946953514977,Established Professional,,,,,,0,0.9358752578838785,
1004,otarihoran,Kacung Lailasari,hardiansyahdarmaji@example.org,+62 (69) 166-9784,Tangerang Selatan,Jambi,30,Freelancer,10536477,10886237,True,Freelancer,17797591,73,Transport & Mobility,QRIS,5972593,1061284,9349629,0,51339,288531,1074215,0,0,0,26,0,0,28,0,0,0,23,0.3355843307341802,0.0596307635325048,0.5253311234463629,0.0,0.0028846037149295,0.0162117998884343,0.0603573224962118,0.0,23,1.6891404319356051,3,6,2,1,1,0.24627296177329921,0.720731696475456,Young Professional,,,,,,0,0.9999632352941177,
1005,siska51,Jaeman Adriansyah,belinda28@example.org,+62 (0893) 252-8809,Pasuruan,Bali,35,Doctor,66851341,143444689,True,Established Professional,22822065,73,Retail & Convenience,QRIS,236880,0,12741617,218729,2322100,0,1037658,6265081,0,30,0,15,11,0,0,0,0,0,0.0103794284005663,0.0,0.5583025217787031,0.0095841016321659,0.1017480187814722,0.0,0.0454673122056522,0.2745185733841975,11,0.3413852933573121,1,4,2,0,3,4.04787777832411,-0.9856889991598148,Freelancer,,,,,,0,0.9847999999999999,
1006,tarihoranluwes,Tomi Purnawati,hutasoitamalia@example.org,0822782489,Jambi,Kalimantan Selatan,43,Doctor,34449461,120353911,True,Established Professional,28180084,72,Utilities,Bayar Tagihan,0,165687,11397878,182026,1352627,0,873092,14208774,0,29,0,11,25,0,0,0,0,0,0.0,0.0058795777230622,0.4044657068990388,0.0064593843489116,0.0479993938982086,0.0,0.0309825893002097,0.5042133123445156,25,0.8180123103228724,1,7,0,0,3,3.864456061877075,-2.6451618480409116,Freelancer,Jangan biarkan koneksi internet terputus di tengah deadline krusial. Aktifkan My Schedule agar tagihan PDAM terbayar otomatis dan fokus kreatifmu tidak terganggu.,My Schedule,Bayar Tagihan,Internet,Deadline Protection,4,0.99,My Schedule
1007,raditya57,Devi Prayoga,cagaksirait@example.org,0839301031,Magelang,DI Yogyakarta,18,Fresh Graduate,1405657,1555668,True,Student,8957505,71,Food & Beverage,QRIS,2124530,1465864,0,3225583,0,1529162,307601,304765,0,0,0,0,0,0,12,0,18,28,0.2371787414934469,0.1636464435524799,0.0,0.3600983354071992,0.0,0.1707129194219909,0.0343400272352594,0.0340234212514063,40,6.372463999066629,4,1,2,2,2,-4.522826705944754,-0.5950114363373444,Established Professional,,,,,,0,0.9640476190476189,
1008,kalimwinarsih,R.M. Nyoman Pertiwi,yprasasta@example.com,(031) 165-6670,Banjarmasin,Riau,54,Lawyer,22915909,153325926,True,Established Professional,21293074,68,Retail & Convenience,QRIS,47907,0,6460720,0,2636605,302268,621734,11223840,0,13,0,12,14,0,0,0,0,0,0.0022498864067308,0.0,0.3034188345271878,0.0,0.1238245298060519,0.0141956011520177,0.0291988827353494,0.5271122184090368,14,0.9291829999332342,5,4,2,0,3,3.5921230207651713,-1.891544603752256,Freelancer,,,,,,0,0.9553846153846153,
1009,darimin33,Dina Anggraini,kalimhariyah@example.org,+62 (078) 108 0132,Pasuruan,Sulawesi Utara,21,Student,3315426,1279678,True,Student,9514748,65,Lifestyle & Entertainment,Bayar Tagihan,2415020,1119487,268646,4095620,233592,1382383,0,0,0,0,0,0,0,0,23,0,16,15,0.2538185715671532,0.1176580695927974,0.0282346912146605,0.4304496103890917,0.0245505162563931,0.1452884358799165,0.0,0.0,38,2.8698408983216943,7,3,0,2,2,-3.9634406554162784,-2.24259536674071,Established Professional,"Gaya hidup yang berkualitas perlu diseimbangkan dengan pertumbuhan aset. Sambil menikmati langganan Netflix, mulailah alokasikan dana secara rutin ke instrumen Reksadana.",Investment,Bayar Tagihan,Lifestyle & Entertainment,Balanced Lifestyle,3,0.9696153846153847,Investment
